method,TRAIN_MSE,TRAIN_RMSE,TRAIN_MAE,TRAIN_MAPE,TEST_MSE,TEST_RMSE,TEST_MAE,TEST_MAPE
Baseline Last Value,117933.28763423309,343.41416341530396,119.08370373283944,4.041683941247437,3528403.788302722,1878.404585892699,1174.923878934643,3.8710151341671786
Baseline Moving Average,151915.89921339697,389.76390188599686,138.03576207484375,4.600235551498742,4683114.068147893,2164.050384845023,1369.7300719264506,4.465487664672203
Linear Regression,106297.07162003055,326.0323168338233,126.01224530927364,7.465253052521463,5822001.027534242,2412.8823070208464,1621.934879694142,7.749521744232977
Neural Network Best,300719.06366090634,548.378576952917,383.85700440097895,74.80042694686394,14823184.490325319,3850.0888938211956,2593.396252000815,8.173684805008321
KNN Best,0.0,0.0,0.0,0.0,382954089.8599029,19569.212806342082,12401.565740785647,28.30803166498735
Random Forest Best,10725.785835615188,103.56536986664601,35.7846534913349,1.214540636783437,365211707.4971588,19110.513009784925,12220.344021942003,29.0635668104355
