tested_value,Train Mean,Train Std,Train Min,Train Max,Test Mean,Test Std,Test Min,Test Max
full_batch,79.91992349832296,1.6394069593445724,78.26373977909788,82.15310410376313,8.915593901203188,0.423249243994648,8.44444800150159,9.470894922559822
32,144.1546182594558,7.110127667568888,134.0994659472257,149.21834904297816,9.77782809812339,0.6885919848219494,8.826383436101896,10.433281265872441
64,114.96779589724713,1.4910230465597263,112.87455316576882,116.23458932841079,9.636940311082922,0.35106884230869273,9.172456431101574,10.021054045650645
128,97.94415772677867,2.6549882833894616,94.80398721029547,101.29692103305929,9.332617741635312,0.5125386340428219,8.72687040633333,9.98023247358041
