tested_value,TRAIN_MSE,TRAIN_RMSE,TRAIN_MAE,TRAIN_MAPE,TEST_MSE,TEST_RMSE,TEST_MAE,TEST_MAPE
10,17614.449161781093,132.71943776923217,45.29485519148137,1.8091596431220607,360180025.9023573,18978.409467138106,12181.780863920487,29.437018360660822
50,11452.704689174603,107.01731023145089,40.34308417837381,1.681583884681466,362986808.66789466,19052.21269742427,12207.314875719223,29.212674481439777
100,11898.181104768288,109.07878393513694,40.95850442082547,1.6832097095187855,363038662.3344115,19053.573479387313,12191.122434630402,29.088811931371023
200,12166.265496588121,110.30079553923498,40.3833540719897,1.6648455129485544,364907300.6614838,19102.54696791723,12218.592281779162,29.08263311333937
