tested_value,Train Mean,Train Std,Train Min,Train Max,Test Mean,Test Std,Test Min,Test Max
1 hidden layer,79.91992349832296,1.6394069593445724,78.26373977909788,82.15310410376313,8.915593901203188,0.423249243994648,8.44444800150159,9.470894922559822
2 hidden layers,459.81064820416947,0.08841145535974818,459.68566151440723,459.8760781618871,85.5900477814921,0.01505592673285507,85.56880868497288,85.60197001120294
3 hidden layers,459.958917453246,0.0009486655015368564,459.9580654099316,459.9602409524759,85.61246873781012,9.97052929876138e-05,85.61233697627387,85.61257810295875
4 hidden layers,459.96052375550454,2.6337887229652136e-06,459.96052044241253,459.96052688610297,85.61266720485519,4.596238596394686e-07,85.612666746209,85.61266783306911
