tested_value,TRAIN_MSE,TRAIN_RMSE,TRAIN_MAE,TRAIN_MAPE,TEST_MSE,TEST_RMSE,TEST_MAE,TEST_MAPE
2,487046.4336639139,697.8871210044745,444.95600623513434,60.128755159397784,468849509.0919634,21652.93303670344,14660.198200899931,38.47299099610865
5,34960.34178083701,186.97684824821764,84.46960015092765,5.75497903659132,365706960.97383624,19123.46623846828,12256.484531082615,29.303247253743788
10,11898.181104768288,109.07878393513694,40.95850442082547,1.6832097095187855,363038662.3344115,19053.573479387313,12191.122434630402,29.088811931371023
20,10725.785835615188,103.56536986664601,35.7846534913349,1.214540636783437,365211707.4971588,19110.513009784925,12220.344021942003,29.0635668104355
